Date,Open,High,Low,Close,Difference,Shares Traded,Turnover (Rs. Cr),EHL,VHL,HL,N,HP,VHP,EHP,Status
27-Jul-11,5588.55,5591.7,5521.5,5546.8,41.75,122321153,5358.36,0,0,0,0,1,0,0,4
28-Jul-11,5492.4,5512.1,5475.65,5487.75,4.65,164522151,6883.18,0,0,0,1,0,0,0,3
29-Jul-11,5479,5520.3,5453.95,5482,-3,156128914,5901.53,0,0,0,1,0,0,0,3
01-Aug-11,5527.5,5551.9,5486.45,5516.8,10.7,98962726,4048.98,0,0,0,1,0,0,0,3
02-Aug-11,5493.2,5496.3,5433.65,5456.55,36.65,110372244,4236.41,0,0,0,0,1,0,0,4
03-Aug-11,5402,5422.6,5378.85,5404.8,-2.8,133223864,5339.25,0,0,0,1,0,0,0,3
04-Aug-11,5412.4,5434.5,5323.15,5331.8,80.6,118482440,4820.07,0,0,0,0,0,1,0,5
05-Aug-11,5204.35,5229.65,5116.45,5211.25,-6.9,196016865,7543.44,0,0,0,1,0,0,0,3
08-Aug-11,5083.85,5204.2,5054.05,5118.5,-34.65,188307028,7326.93,0,0,1,0,0,0,0,2
09-Aug-11,4947.9,5167,4946.45,5072.85,-124.95,233869015,9385.01,0,1,0,0,0,0,0,1
10-Aug-11,5196.55,5197.95,5123.35,5161,35.55,158404456,6289.41,0,0,0,0,1,0,0,4
11-Aug-11,5128,5184.95,5121,5138.3,-10.3,113043482,4723.01,0,0,0,1,0,0,0,3
12-Aug-11,5194.4,5194.45,5053.35,5072.95,121.45,128834807,5909.91,0,0,0,0,0,1,0,5
16-Aug-11,5125.75,5132.2,5015.4,5035.8,89.95,130896704,5081.61,0,0,0,0,0,1,0,5
17-Aug-11,5030.3,5112.15,5017.25,5056.6,-26.3,143342008,5472.63,0,0,1,0,0,0,0,2
18-Aug-11,5077.95,5078.6,4932.15,4944.15,133.8,139816131,5686.22,0,0,0,0,0,1,0,5
19-Aug-11,4859.3,4893.6,4796.1,4845.65,13.65,166702431,7317.33,0,0,0,1,0,0,0,3
22-Aug-11,4843.7,4910.05,4808.75,4898.8,-55.1,123813921,5186.04,0,1,0,0,0,0,0,1
23-Aug-11,4925.15,4965.8,4863.8,4948.9,-23.75,130010440,5519.36,0,0,1,0,0,0,0,2
24-Aug-11,4934.35,4962.4,4875.3,4888.9,45.45,129410652,5241.5,0,0,0,0,1,0,0,4
25-Aug-11,4914.65,4915.85,4825.05,4839.6,75.05,184913414,7921.11,0,0,0,0,0,1,0,5
